,s1_buys_per_trial,s1_sells_per_trial,s2_buys_per_trial,s2_sells_per_trial,holds_per_trial,illegal_action_trial
0,3,0,2,3,2,True
1,2,0,1,2,0,True
2,0,0,0,1,0,True
3,0,0,0,1,0,True
4,0,0,0,1,0,True
5,0,1,2,0,0,True
6,7,8,6,4,2,True
7,2,0,0,1,1,True
8,0,0,0,1,0,True
9,0,0,0,1,0,True
10,1,2,3,2,6,True
11,0,1,0,0,0,True
12,0,0,0,1,0,True
13,1,0,0,1,1,True
14,0,0,0,1,2,True
15,0,0,0,1,2,True
16,0,1,2,0,2,True
17,4,1,1,2,10,True
18,0,0,0,1,1,True
19,1,0,0,1,4,True
20,0,1,0,0,3,True
21,0,0,0,1,1,True
22,0,0,0,1,4,True
23,0,1,0,0,1,True
24,2,3,2,2,15,True
25,0,0,0,1,0,True
26,31,12,24,9,954,False
27,269,1,209,146,405,False
28,50,51,344,0,0,True
29,72,73,162,0,1,True
30,184,109,192,118,427,False
31,249,147,201,104,329,False
32,161,162,106,32,296,True
33,178,34,186,123,509,False
34,274,247,121,73,315,False
35,137,43,0,1,360,True
36,56,2,0,1,180,True
37,114,55,0,1,174,True
38,0,1,1,0,76,True
39,126,127,60,0,427,True
40,27,28,90,2,37,True
41,1,2,83,0,60,True
42,26,27,76,0,16,True
43,0,1,10,0,0,True
44,52,53,161,0,239,True
45,215,158,192,137,328,False
46,127,128,191,170,213,True
47,30,0,0,1,60,True
48,11,12,31,0,9,True
49,49,50,120,60,223,True
50,124,21,99,100,212,True
51,129,130,213,149,272,True
52,109,0,7,8,51,True
53,115,0,10,11,40,True
54,45,0,0,1,0,True
55,121,13,11,12,22,True
56,134,1,7,8,13,True
57,134,0,0,1,1,True
58,160,38,26,27,91,True
59,130,131,84,32,265,True
60,182,183,176,139,293,True
61,148,0,1,2,46,True
62,82,1,0,1,0,True
63,101,11,1,2,40,True
64,118,0,0,1,4,True
65,134,6,2,3,42,True
66,103,2,0,1,55,True
67,139,14,0,1,134,True
68,323,240,79,61,327,False
69,272,257,74,16,411,False
70,157,3,1,2,140,True
71,169,0,0,1,7,True
72,297,298,50,11,313,True
73,202,16,0,1,152,True
74,1,0,0,1,78,True
75,10,0,1,0,1019,False
76,0,0,0,1,330,True
77,2,0,0,1,618,True
78,2,0,0,1,294,True
79,2,1,0,1,411,True
80,0,0,0,1,150,True
81,0,0,0,1,26,True
82,0,0,0,1,99,True
83,0,1,0,0,125,True
84,177,94,265,223,271,False
85,223,22,18,16,751,False
86,168,43,64,37,718,False
87,175,176,156,118,321,True
88,42,0,0,1,0,True
89,19,0,0,1,7,True
90,0,0,0,1,64,True
91,0,0,0,1,9,True
92,199,154,210,183,284,False
93,155,156,69,29,432,True
94,17,18,35,0,115,True
95,88,20,71,72,199,True
96,146,34,49,50,197,True
97,39,40,21,0,52,True
98,104,105,204,183,115,True
99,76,2,1,2,412,True
