,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,2010-01-04,110.78306580979475,9.9,9.68,4.698466351798788,18748700.0,0.0,1.0,9.79,9.9,9.68,9.7,18748700.0
1,2010-01-05,110.7020384049414,9.9,9.68,4.707439941017014,22145700.0,0.0,1.0,9.71,9.9,9.68,9.71,22145700.0
2,2010-01-06,110.67101100008806,9.76,9.55,4.566413530235237,18643400.0,0.0,1.0,9.68,9.76,9.55,9.57,18643400.0
3,2010-01-07,110.49998359523471,9.55,9.18,4.465387119453461,26806800.0,0.0,1.0,9.51,9.55,9.18,9.47,26806800.0
4,2010-01-08,110.35895619038135,9.47,9.29,4.424360708671684,13752800.0,0.0,1.0,9.37,9.47,9.29,9.43,13752800.0
5,2010-01-11,110.367928785528,9.44,9.08,4.133334297889909,23700100.0,0.0,1.0,9.38,9.44,9.08,9.14,23700100.0
6,2010-01-12,109.87690138067465,8.92,8.52,3.6423078871081325,33387100.0,0.0,1.0,8.89,8.92,8.52,8.65,33387100.0
7,2010-01-13,109.6958739758213,9.2,8.55,4.141281476326356,32741900.0,0.0,1.0,8.71,9.2,8.55,9.15,32741900.0
8,2010-01-14,110.16484657096794,9.26,8.92,3.99025506554458,22556600.0,0.0,1.0,9.18,9.26,8.92,9.0,22556600.0
9,2010-01-15,110.1138191661146,9.19,8.8,3.8292286547628045,34336600.0,0.0,1.0,9.13,9.19,8.8,8.84,34336600.0
10,2010-01-19,109.82279176126124,9.21,8.84,3.9982022439810283,24866200.0,0.0,1.0,8.84,9.21,8.84,9.01,24866200.0
11,2010-01-20,109.9617643564079,9.0,8.755,3.8571758331992516,22813600.0,0.0,1.0,8.98,9.0,8.755,8.87,22813600.0
12,2010-01-21,109.99073695155454,9.1,8.7701,3.9761494224174765,37888700.0,0.0,1.0,9.01,9.1,8.7701,8.99,37888700.0
13,2010-01-22,109.52970954670118,8.56,7.82,2.8651230116357,69136400.0,0.0,1.0,8.55,8.56,7.82,7.88,69136400.0
14,2010-01-25,108.98868214184785,8.14,7.93,3.0540966008539243,20560000.0,0.0,1.0,8.01,8.14,7.93,8.07,20560000.0
15,2010-01-26,109.00765473699448,8.19,7.93,3.0730701900721478,20946600.0,0.0,1.0,8.03,8.19,7.93,8.09,20946600.0
16,2010-01-27,109.00662733214114,8.22,7.91,3.1720437792903713,26832700.0,0.0,1.0,8.03,8.22,7.91,8.19,26832700.0
